AGENT,An agent is anything that can be viewed as perceiving its environment through sensors and acting upon that environment through actuators.
SENSOR,An agent is anything that can be viewed as perceiving its environment through sensors and acting upon that environment through actuators.
ACTUATOR,An agent is anything that can be viewed as perceiving its environment through sensors and acting upon that environment through actuators.
ENVIRONMENT,An agent is anything that can be viewed as perceiving its environment through sensors and acting upon that environment through actuators.
PERCEPT,We use the term percept to refer to the agent’s perceptual inputs at any given instant.
PERCEPT SEQUENCE,An agent’s percept sequence is the complete history of everything the agent has ever perceived.
AGENT FUNCTION,"Mathematically speaking, we say that an agent’s behavior is described by the agent function that maps any given percept sequence to an action."
AGENT PROGRAM,"The agent function is an abstract mathematical description; the agent program is a concrete implementation, running within some physical system."
RATIONAL AGENT,"A rational agent is one that does the right thing—conceptually speaking, every entry in the table for the agent function is filled out correctly."
PERFORMANCE MEASURE,"When an agent is plunked down in an environment, it generates a sequence of actions according to the percepts it receives. This sequence of actions causes the environment to go through a sequence of states. If the sequence is desirable, then the agent has performed well. This notion of desirability is captured by a performance measure that evaluates any given sequence of environment states."
DEFINITION OF A RATIONAL AGENT,"For each possible percept sequence, a rational agent should select an action that is expected to maximize its performance measure, given the evidence provided by the percept sequence and whatever built-in knowledge the agent has."
OMNISCIENCE,We need to be careful to distinguish between rationality and omniscience. An omniscient agent knows the actual outcome of its actions and can act accordingly; but omniscience is impossible in reality.
INFORMATION GATHERING, Doing actions in order to modify future percepts‚sometimes called information gathering‚Äîis an important part of rationality and is covered in depth in Chapter 16
EXPLORATION, A second example of information gathering is provided by the exploration that must be undertaken by a vacuum-cleaning agent in an initially unknown environment
LEARNING,"Our definition requires a rational agent not only to gather information but also to learn as much as possible from what it perceives. The agent’s initial configuration could reflect some prior knowledge of the environment, but as the agent gains experience this may be modified and augmented."
AUTONOMY," To the extent that an agent relies on the prior knowledge of its designer rather than on its own percepts, we say that the agent lacks autonomy"
TASK ENVIRONMENT,"First, however, we must think about task environments, which are essentially
the “problems” to which rational agents are the “solutions.”"
PEAS," For the acronymically minded, we call this the PEAS (Performance, Environment, Actuators, Sensors) description"
SOFTWARE AGENT,"In contrast, some software agents SOFTWARE AGENT (or software robots or softbots) exist in rich, unlimited domains. Imagine a softbot Web site operator designed to scan Internet news sources and show the interesting items to its users, while selling advertising space to generate revenue"
